,Entity_ID,Name,Alias,Notes
0,Alliance_Financial_Regulatory_Board,Alliance Financial Regulatory Board, ,101 Federal Street  Suite 1600  Boston  Massachusetts 02110  USAhttp://alliancefrboard.us
1,American_Futures_and_Options_Exchange,American Futures and Options Exchange, ,131 Pearl St  New York NY 10005  www.afoex.com  support@afoex.com
2,American_Futures_and_Options_Trading_Commission_,American Futures and Options Trading Commission ,(AFOTC),503 N Michigan Avenue #1950  Chicago Illinois 60601  www.afoex.com  support@afoex.com
3,Beacon_Commodities_and_Futures_Exchange_,Beacon Commodities and Futures Exchange ,(BCFX),"International Building Kingsway,  London WC28 6ST UK  Fax: +442080825205  info@bcfx.org  www.bcfx.orgAccount name: <span class=""alias"">Fusephase Ltd   Account number: <span class=""account"">787-531250-883   Bank name: HANG SENG BANK HK"
4,"Beacon_Hill_Regulatory_Trade_Commission,_The","Beacon Hill Regulatory Trade Commission, The", ,"Address: 92A W Cedar Street, Boston MA 02114  Website: http://bhrtc.org and http://www.bhrtcom.org  Phone: (617) 307-9136  Email: info@bhrtc.com"
5,Belgium_Commodities_&amp;_Futures_Exchange,Belgium Commodities &amp; Futures Exchange, ,www.bcfex.com (no longer works)
6,Board_of_Securities_Trading_Commission,Board of Securities Trading Commission, ,(also known as BSTC)  1 Post Sq St Boston  Massachusetts 02109  www.bstcomm.org&nbsp;
7,Boston_Mergers_and_Acquisitions_Board,Boston Mergers and Acquisitions Board, ,"Address: 239 Causeway St, 2nd Floor, Suite 203-206, Boston MA 02114  http://bostonmboard.com/developments.php"
8,Bureau_of_Financial_Services_Board,Bureau of Financial Services Board, ,222 S. Main Street  7th Floor  Salt Lake City  Utah 841017http://bfsboard.orgNote: this entity is not connected or associated with Goldman Sachs &amp; Co LLC operating at 222 South Main Street Salt Lake City Utah 84101 USA
9,Bureau_of_Financial_Trading,Bureau of Financial Trading, ,"1775 K Street Northwest Washington, District of Columbia 20036 USA  http://gov.boft.us/"
10,Bureau_of_Foreign_Security_Affairs,Bureau of Foreign Security Affairs, ,Rond Point Schuman 8  1040 Brussells  Belgium  Ph 0011 3224 166 015  Fax 0011 3224 166 016
11,Commission_on_Financial_and_Securities_Compliance,Commission on Financial and Securities Compliance, ,911 Lee Avenue  Lafayette  LA 70501P: 1.337.210.8168  F: 1.337.205.8679  info@commfsc.com  http://commfsc.com
